Images,Attraction,Ratings,Description,Latitude,Longitude,Location
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjH3P0AlUX8ZHibGQ52dV_m04ssZ4tdNEl3jBlNqp4Tmo0pTGT679QyAs_tRf74_i1fijk0CQLEomHzgWE2lOc1w,Gateway Of India Mumbai,4.6,Waterfront Indo-Saracenic triumphal arch,18.9219841,72.8346543,Colaba
https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSqtAG0NTP4l82rkN9TnauJJRt4UxUSHl_7uFvfyF_3bpzyLW-4EGRosOhTzsEnNC05S-eHacA3fTks-yQXaP2Jbw,Chhatrapati Shivaji Maharaj Terminus,4.5,Ornate Victorian railway for local lines,18.9398446,72.8354475, Fort
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSESmDZPddo33JF4Vo3UsPTVcEa4yTi3XT_rJQTiqt0DX4ZSMUBGHaacBzofMturwmpN4zowJZaOnNNWDP6vEUdZA,Shree Siddhivinayak Temple,4.8,Grand Hindu temple dedicated to Ganesha,19.0168254,72.8302504,Prabhadevi
https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQTqKz4L5c9BwUwxRcmaSEoOu7sT5GCbWxspmMl87Q3lyh_ZqseVwJ1Pgp5ayeVcEjwFnu2tX3U9MCWyHa-fJEAZg,Haji Ali Dargah,4.4,Island mausoleum & pilgrimage site,18.9827277,72.8089155, Haji Ali
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRJCKfWr6PGjUM-jOiI3KB7M4z5cw_-1KlmUj46pZQA_drnbVmmt4twRxOR4XHXo0tBEfBdwE57dVo-Jvzj2eigyg,Sanjay Gandhi National Park,4.3,Vast park with caves & a big cat safari,19.2288092,72.9181784,Borivali
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQpHd7dPS6k3zWxvfv9lbzvUI5hhrzmu0T2F6W8zCBbeWyqec4OJCwxHpmk1IxIcFIWXO61FJcdk-_NgzjHZ8wOQQ,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,4.6,"Elegant, spacious art & history museum",18.9269015,72.8326916,Fort
https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSW6Oo9rxrmlqKHGK2s8MCegIjOAGlKH1y3SZehkq3i6QQzdDnp33g-bneRIprAtaLdpQe8Mnehz5JG9qe211fyCg,Elephanta Caves,4.3,Island with sculpted cave temples,18.9633474,72.9314864,"Elephanta Island, Navi Mumbai"
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQAY8eBV7VSoOZMxV2ZVEmsaeCAjpJogzks2bQKxVIS48CuktY28t0Jpb3UNBkZFOpHXL9a-LOeYNcQaFuOuRdclg,Global Vipassana Pagoda,4.6,Massive meditation hall honouring Buddha,19.2282034,72.8058891, Borivali
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQfM7sc4YAWmxcwTXqh60cwLjpgQSak5beHGpbnYAh81SdMEPiMSLjRgn-M_Wm6q389IrnZlHxSCpr-QAa-3i8Q0w,Shree Mahalakshmi Temple,4.7,18th-century Hindu temple by the sea,18.9772806,72.8064039, Cumballa Hill
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQFZxw6pPi2v2uKrwmHD_-aK1Zmrs5gqa_FYg0zVXftpxnxImbQ3NLJJLHAtrYy361grUlTwq1BKe6vpG8dtECcwQ,EsselWorld,4.3,Thrill rides & kids' attractions,19.231546,72.8050577, Borivali 
